review_priority,rule_uid,rule_id,title,dimension,risk_level,trigger_layer,semantic_enabled,semantic_role,current_route,old_routing_route,recommended_route,route_changed,trigger_clarity,legal_interpretation_level,fact_verification_level,risk_severity,operator_fixability,calibration_status,conflict_flags,recommendation_reasons,source_file
high,RUID-495934a5b91e69ef,GAME-IP-001,游戏素材使用第三方游戏元素需提供授权证明,IP侵权,高,fact,True,fallback,operator_supply_docs,operator_supply_docs,operator_supply_docs,False,contextual,medium,heavy,high,not_self_fixable,provisional,fact规则仍开启普通语义召回,未发现明显字段冲突；可低优先级抽检。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\游戏\20260706_小红书《游戏行业投放规则》使用手册_规则拆解_v1.json
high,RUID-94523973a33e2e4e,GAME-PAT-001,广告中涉及专利产品或者专利方法的，应当标明专利号和专利种类,数据引用不规范,中,fact,True,fallback,operator_direct,operator_direct,operator_direct,False,clear,low,none,medium,direct_fixable,provisional,fact规则仍开启普通语义召回,未发现明显字段冲突；可低优先级抽检。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\游戏\20260705_中华人民共和国广告法（2021修正）_2021.04.29生效_20260615下载_规则拆解_v1.json
high,RUID-0890919fcdafb70b,HF-AD-002,保健食品广告需完成行业认证后方可投放,平台准入/资质不符,高,fact,True,fallback,operator_supply_docs,operator_supply_docs,operator_supply_docs,False,clear,low,heavy,medium,not_self_fixable,provisional,fact规则仍开启普通语义召回,未发现明显字段冲突；可低优先级抽检。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\保健食品\20260705_小红书聚光帮助中心-文档_规则拆解_v1.json
high,RUID-2798fc53480800ac,HF-ADV-001,食品检测机构证明提及要求,数据引用不规范,中,fact,True,fallback,operator_direct,operator_direct,operator_direct,False,clear,low,none,low,direct_fixable,provisional,fact规则仍开启普通语义召回,未发现明显字段冲突；可低优先级抽检。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\保健食品\20260706_小红书《食品行业投放规则》使用手册_规则拆解_v1.json
high,RUID-0662931e9588f851,HF-DATA-001,广告引证内容应真实准确并表明出处,数据引用不规范,中,fact,True,fallback,operator_direct,operator_direct,operator_direct,False,clear,low,none,medium,direct_fixable,provisional,fact规则仍开启普通语义召回,未发现明显字段冲突；可低优先级抽检。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\保健食品\20260705_中华人民共和国广告法（2021修正）_2021.04.29生效_20260615下载_规则拆解_v1.json
high,RUID-9a19e2866a094fa6,HF-FALSE-002,禁止发布虚假广告（商品信息与实际情况不符且对购买有实质性影响）,虚假宣传,高,fact,False,disabled,operator_supply_docs,operator_supply_docs,legal_review_required,True,open,high,heavy,high,guided_fixable,human_confirmed,高解释难度高风险但未进法务,可能低估法务注意力：高解释难度且后果风险较高，建议法务复核。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\保健食品\20260705_中华人民共和国广告法（2021修正）_2021.04.29生效_20260615下载_规则拆解_v1.json
high,RUID-3c96c967f7292c89,HF-FALSE-002,保健食品标签说明书不得含有虚假内容,虚假宣传,高,fact,False,disabled,operator_supply_docs,operator_supply_docs,legal_review_required,True,open,high,heavy,high,guided_fixable,human_confirmed,高解释难度高风险但未进法务,可能低估法务注意力：高解释难度且后果风险较高，建议法务复核。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\保健食品\20260705_中华人民共和国食品安全法（2025修正）_2025.12.01生效_20260617下载_规则拆解_v1.json
high,RUID-cbf2f1dc04583ee7,HF-FALSE-002,食品广告不得含有虚假内容,虚假宣传,高,fact,False,disabled,operator_supply_docs,operator_supply_docs,legal_review_required,True,open,high,heavy,high,guided_fixable,human_confirmed,高解释难度高风险但未进法务,可能低估法务注意力：高解释难度且后果风险较高，建议法务复核。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\保健食品\20260705_中华人民共和国食品安全法（2025修正）_2025.12.01生效_20260617下载_规则拆解_v1.json
high,RUID-385390706db3ccb0,HF-FC-001,保健食品标签说明书内容与注册或备案不一致,标签标识不规范,高,fact,True,fallback,legal_review_required,legal_review_required,legal_review_required,False,contextual,medium,heavy,high,not_self_fixable,provisional,fact规则仍开启普通语义召回,未发现明显字段冲突；可低优先级抽检。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\保健食品\20260705_中华人民共和国食品安全法实施条例（2019修订）_2019.12.01生效_20260617下载_规则拆解_v1.json
high,RUID-6e3933eda959df95,HF-INFO-001,网络销售预包装食品标签信息展示一致性要求,标签标识不规范,中,fact,True,fallback,operator_supply_docs,operator_supply_docs,operator_supply_docs,False,contextual,medium,heavy,medium,guided_fixable,provisional,fact规则仍开启普通语义召回,未发现明显字段冲突；可低优先级抽检。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\保健食品\20260705_（2027年生效！）食品标识监督管理办法_2027.03.16生效_20260617下载_规则拆解_v1.json
high,RUID-b4e721c02d7dbf5c,HF-IP-001,广告中涉及专利产品/方法须标明专利号和专利种类,IP侵权,高,fact,True,fallback,operator_direct,operator_direct,operator_direct,False,clear,low,none,medium,direct_fixable,provisional,高风险规则但运营直接处理；fact规则仍开启普通语义召回,未发现明显字段冲突；可低优先级抽检。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\保健食品\20260705_中华人民共和国广告法（2021修正）_2021.04.29生效_20260615下载_规则拆解_v1.json
high,RUID-249bfcb434f03453,HF-IP-001,广告中不得假冒他人专利,IP侵权,高,fact,True,fallback,legal_review_required,legal_review_required,legal_review_required,False,clear,low,heavy,high,not_self_fixable,provisional,fact规则仍开启普通语义召回,未发现明显字段冲突；可低优先级抽检。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\保健食品\20260705_中华人民共和国广告法（2021修正）_2021.04.29生效_20260615下载_规则拆解_v1.json
high,RUID-f0628074b2613360,HF-LABEL-001,预包装食品标签应标明法定事项,标签标识不规范,中,fact,True,fallback,operator_direct,operator_direct,operator_direct,False,clear,low,none,medium,direct_fixable,provisional,fact规则仍开启普通语义召回,未发现明显字段冲突；可低优先级抽检。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\保健食品\20260705_中华人民共和国食品安全法（2025修正）_2025.12.01生效_20260617下载_规则拆解_v1.json
high,RUID-1cfc275b64f1423f,HF-LABEL-001,保健食品标签信息集中展示要求,标签标识不规范,中,fact,True,fallback,operator_direct,operator_direct,operator_direct,False,clear,low,none,medium,direct_fixable,provisional,fact规则仍开启普通语义召回,未发现明显字段冲突；可低优先级抽检。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\保健食品\20260705_（2027年生效！）食品标识监督管理办法_2027.03.16生效_20260617下载_规则拆解_v1.json
high,RUID-a12e2bc6d7a97240,HF-LABEL-001,保健食品名称标注一致性规则,标签标识不规范,中,fact,True,fallback,operator_direct,operator_direct,operator_direct,False,clear,low,none,low,direct_fixable,provisional,fact规则仍开启普通语义召回,未发现明显字段冲突；可低优先级抽检。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\保健食品\20260705_（2027年生效！）食品标识监督管理办法_2027.03.16生效_20260617下载_规则拆解_v1.json
high,RUID-e1dd3bae81fcc2be,HF-LBL-001,特殊食品标签说明书与注册备案一致,标签标识不规范,高,fact,True,fallback,legal_review_required,legal_review_required,legal_review_required,False,contextual,medium,heavy,high,not_self_fixable,provisional,fact规则仍开启普通语义召回,未发现明显字段冲突；可低优先级抽检。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\保健食品\20260705_中华人民共和国食品安全法实施条例（2019修订）_2019.12.01生效_20260617下载_规则拆解_v1.json
high,RUID-5a6dc7291a272100,HF-NAM-001,备案保健食品通用名应当以规范的原料名称命名,标签标识不规范,中,fact,True,fallback,operator_supply_docs,operator_direct,operator_supply_docs,False,contextual,medium,light,medium,guided_fixable,provisional,legal_attention/routing不一致；fact规则仍开启普通语义召回,legal_attention.default_route 与旧 routing.default_route 不一致。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\保健食品\20260705_保健食品注册与备案管理办法（2020修订）_2020.10.23生效_20260617下载_规则拆解_v1.json
high,RUID-3760513ba11b8083,HF-OTH-001,同一企业不得使用同一配方注册或者备案不同名称的保健食品,其他,中,fact,True,fallback,operator_supply_docs,operator_supply_docs,operator_supply_docs,False,contextual,medium,heavy,medium,not_self_fixable,provisional,fact规则仍开启普通语义召回,未发现明显字段冲突；可低优先级抽检。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\保健食品\20260705_保健食品注册与备案管理办法（2020修订）_2020.10.23生效_20260617下载_规则拆解_v1.json
high,RUID-4aee7195c03d3d3c,HF-REG-001,保健食品注册/备案要求：广告中不得声称产品已注册或备案但实际未完成,平台准入/资质不符,高,fact,True,fallback,legal_review_required,operator_supply_docs,legal_review_required,False,contextual,medium,heavy,high,not_self_fixable,provisional,legal_attention/routing不一致；fact规则仍开启普通语义召回,legal_attention.default_route 与旧 routing.default_route 不一致。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\保健食品\20260705_中华人民共和国食品安全法（2025修正）_2025.12.01生效_20260617下载_规则拆解_v1.json
high,RUID-1bac53642e0ddd34,HFAD-002-001,保健食品广告未经审查不得发布,平台准入/资质不符,高,fact,True,fallback,operator_supply_docs,operator_supply_docs,operator_supply_docs,False,clear,low,heavy,high,not_self_fixable,provisional,fact规则仍开启普通语义召回,未发现明显字段冲突；可低优先级抽检。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\保健食品\20260705_药品、医疗器械、保健食品、特殊医学用途配方食品广告审查管理暂行办法_2020.03.01生效_20260617下载_规则拆解_v1.json
high,RUID-14a648905a045dda,IAM-ADV-002,广告主发布广告需主体资格和行政许可合规,平台准入/资质不符,高,fact,True,fallback,legal_review_required,operator_supply_docs,legal_review_required,False,contextual,medium,heavy,high,not_self_fixable,provisional,legal_attention/routing不一致；fact规则仍开启普通语义召回,legal_attention.default_route 与旧 routing.default_route 不一致。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\保健食品\20260705_互联网广告管理办法_2023.05.01生效_20260615下载_规则拆解_v1.json
high,RUID-49e77c95d85621d7,IAM-ADV-002,广告主发布广告需主体资格和行政许可合规,平台准入/资质不符,高,fact,True,fallback,legal_review_required,operator_supply_docs,legal_review_required,False,contextual,medium,heavy,high,not_self_fixable,provisional,legal_attention/routing不一致；fact规则仍开启普通语义召回,legal_attention.default_route 与旧 routing.default_route 不一致。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\美妆\20260705_互联网广告管理办法_2023.05.01生效_20260615下载_规则拆解_v1.json
high,RUID-aa27bc86634686bd,TB-COSM-003,化妆品标签信息须完整,标签标识不规范,高,fact,True,fallback,legal_review_required,operator_supply_docs,legal_review_required,False,contextual,medium,heavy,high,not_self_fixable,provisional,legal_attention/routing不一致；fact规则仍开启普通语义召回,legal_attention.default_route 与旧 routing.default_route 不一致。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\美妆\20260706_淘宝网化妆品行业管理规范_规则拆解_v1.json
high,RUID-f224004829c557dc,TB-HF-001,食品商品描述信息一致性要求,标签标识不规范,中,fact,True,fallback,operator_direct,operator_direct,operator_direct,False,clear,low,none,medium,direct_fixable,provisional,fact规则仍开启普通语义召回,未发现明显字段冲突；可低优先级抽检。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\保健食品\20260705_淘宝网食品行业管理规范_规则拆解_v1.json
high,RUID-8672ca7908a6ffc1,XHS-COSM-003,广告中使用数据引证内容需提供证明材料并表明出处,数据引用不规范,高,fact,True,fallback,operator_supply_docs,operator_supply_docs,operator_supply_docs,False,contextual,medium,heavy,high,guided_fixable,provisional,fact规则仍开启普通语义召回,未发现明显字段冲突；可低优先级抽检。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\美妆\20260705_小红书聚光帮助中心-文档_规则拆解_v1.json
high,RUID-9ecf144ad28c1c77,XHS-GAME-DAT-003,广告中使用数据引证内容需提供证明材料并表明出处,数据引用不规范,中,fact,True,fallback,operator_supply_docs,operator_supply_docs,operator_supply_docs,False,contextual,medium,heavy,medium,guided_fixable,provisional,fact规则仍开启普通语义召回,未发现明显字段冲突；可低优先级抽检。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\游戏\20260705_小红书聚光帮助中心-文档_规则拆解_v1.json
high,RUID-5195b618e54e4edd,XHS-PAT-002,境外专利宣传需提供对应资质并标明专利所在地和号码,数据引用不规范,中,fact,True,fallback,operator_supply_docs,operator_direct,operator_supply_docs,False,clear,low,heavy,medium,guided_fixable,provisional,legal_attention/routing不一致；fact规则仍开启普通语义召回,legal_attention.default_route 与旧 routing.default_route 不一致。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\美妆\20260706_小红书【聚光】美妆&行业规范_规则拆解_v1.json
high,RUID-0ff10e67c01abe68,COSM-OTHER-001,格式条款中不得排除或限制消费者权利、减轻或免除经营者责任,其他,高,workflow,True,fallback,operator_direct,operator_direct,operator_direct,False,clear,low,none,medium,direct_fixable,provisional,高风险规则但运营直接处理；workflow规则仍可能进入普通召回,workflow 规则当前不进入普通文案审核，建议作为专项链路单独校准。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\美妆\20260705_中华人民共和国消费者权益保护法（2013修正）_2014.03.15生效_20260615下载_规则拆解_v1.json
high,RUID-40bed6ff34f9c6dd,GAME-BILI-002,弹幕广告文案不得填写无意义或与图片/落地页无关的内容,其他,中,workflow,True,fallback,legal_review_required,legal_review_required,legal_review_required,False,open,high,light,medium,not_self_fixable,provisional,workflow规则仍可能进入普通召回,workflow 规则当前不进入普通文案审核，建议作为专项链路单独校准。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\游戏\20260706_B站广告推广平台审核规范（二）_规则拆解_v1.json
high,RUID-001b7fa29f70015d,GAME-BILI-003,禁止非正常性关系或性心理相关内容,其他,高,workflow,True,fallback,legal_review_required,legal_review_required,legal_review_required,False,open,high,none,high,not_self_fixable,provisional,workflow规则仍可能进入普通召回,workflow 规则当前不进入普通文案审核，建议作为专项链路单独校准。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\游戏\20260706_B站广告推广平台审核规范_规则拆解_v1.json
high,RUID-541c7a96fa51d83e,GAME-BILI-008,创意投放需为GIF专用广告位组,其他,中,workflow,False,fallback,operator_direct,operator_direct,operator_direct,False,clear,low,none,low,direct_fixable,provisional,workflow规则仍可能进入普通召回,workflow 规则当前不进入普通文案审核，建议作为专项链路单独校准。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\游戏\20260706_B站广告推广平台审核规范（二）_规则拆解_v1.json
high,RUID-224f71524e5b87e9,GAME-LS-001,禁止使用低俗视角展示（突出、特写、引导等）,其他,高,workflow,True,fallback,legal_review_required,legal_review_required,legal_review_required,False,contextual,high,none,high,not_self_fixable,provisional,workflow规则仍可能进入普通召回,workflow 规则当前不进入普通文案审核，建议作为专项链路单独校准。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\游戏\20260706_B站广告推广平台审核规范_规则拆解_v1.json
high,RUID-505b14de2e9bb0fe,GAME-MAT-001,素材引人不适-恶心,其他,中,workflow,True,fallback,legal_review_required,legal_review_required,legal_review_required,False,contextual,medium,none,medium,guided_fixable,provisional,workflow规则仍可能进入普通召回,workflow 规则当前不进入普通文案审核，建议作为专项链路单独校准。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\游戏\20260706_B站广告推广平台审核规范_规则拆解_v1.json
high,RUID-9b1bb3de9b16753e,GAME-OTHER-002,游戏类广告内容排版不可杂乱无章或元素密集堆砌,其他,低,workflow,True,fallback,operator_direct,operator_direct,operator_direct,False,contextual,medium,none,low,guided_fixable,provisional,workflow规则仍可能进入普通召回,workflow 规则当前不进入普通文案审核，建议作为专项链路单独校准。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\游戏\20260706_B站广告推广平台审核规范_规则拆解_v1.json
high,RUID-0e71dab0d661b022,GAME-PROT-002,网络服务提供者对含有危害未成年人身心健康内容的信息应立即停止传输并处置,未成年人保护,critical,workflow,True,fallback,legal_review_required,legal_review_required,legal_review_required,False,open,high,none,high,not_self_fixable,provisional,workflow规则仍可能进入普通召回,workflow 规则当前不进入普通文案审核，建议作为专项链路单独校准。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\游戏\20260705_中华人民共和国未成年人保护法（2024修正）_2024.04.26生效_20260615下载_规则拆解_v1.json
high,RUID-1a3e095bce1be1e4,GEN-PLATFORM-DUTY-001,平台明知违法广告应予制止,平台准入/资质不符,中,workflow,False,fallback,legal_review_required,legal_review_required,legal_review_required,False,contextual,medium,heavy,medium,not_self_fixable,provisional,workflow规则仍可能进入普通召回,workflow 规则当前不进入普通文案审核，建议作为专项链路单独校准。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\20260623_中华人民共和国广告法_通用规则_v1.json
high,RUID-6763f650c9e732d2,HF-CONTRACT-001,格式条款中不得排除或限制消费者权利、减轻或免除经营者责任,其他,高,workflow,True,fallback,operator_direct,operator_direct,operator_direct,False,clear,low,none,high,direct_fixable,provisional,高风险规则但运营直接处理；workflow规则仍可能进入普通召回,workflow 规则当前不进入普通文案审核，建议作为专项链路单独校准。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\保健食品\20260705_中华人民共和国消费者权益保护法（2013修正）_2014.03.15生效_20260615下载_规则拆解_v1.json
high,RUID-3a05f44ab24c9a6e,IAM-AD-001,互联网直播营销广告主体责任认定,广告代言不合规,中,workflow,True,fallback,legal_review_required,legal_review_required,legal_review_required,False,contextual,medium,none,medium,not_self_fixable,provisional,workflow规则仍可能进入普通召回,workflow 规则当前不进入普通文案审核，建议作为专项链路单独校准。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\保健食品\20260705_互联网广告管理办法_2023.05.01生效_20260615下载_规则拆解_v1.json
high,RUID-1f35f8ba14b5df30,IAM-ADV-002,直播营销中直播间运营者广告经营者/发布者责任认定,广告代言不合规,中,workflow,False,fallback,operator_supply_docs,operator_direct,operator_supply_docs,False,contextual,medium,light,medium,guided_fixable,provisional,legal_attention/routing不一致；workflow规则仍可能进入普通召回,workflow 规则当前不进入普通文案审核，建议作为专项链路单独校准。；legal_attention.default_route 与旧 routing.default_route 不一致。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\美妆\20260705_互联网广告管理办法_2023.05.01生效_20260615下载_规则拆解_v1.json
high,RUID-8718ea02adca8268,IAM-ADV-003,广告主自行发布广告需建立档案并保存不少于三年,其他,中,workflow,False,fallback,operator_supply_docs,operator_supply_docs,operator_supply_docs,False,clear,low,heavy,medium,not_self_fixable,provisional,workflow规则仍可能进入普通召回,workflow 规则当前不进入普通文案审核，建议作为专项链路单独校准。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\保健食品\20260705_互联网广告管理办法_2023.05.01生效_20260615下载_规则拆解_v1.json
high,RUID-524e9337947da736,IAM-ADV-003,广告主自行发布广告需建立并保存广告档案,其他,中,workflow,False,fallback,operator_direct,operator_direct,operator_direct,False,clear,low,none,low,direct_fixable,provisional,workflow规则仍可能进入普通召回,workflow 规则当前不进入普通文案审核，建议作为专项链路单独校准。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\美妆\20260705_互联网广告管理办法_2023.05.01生效_20260615下载_规则拆解_v1.json
high,RUID-ae8005e6a4b8473b,IAM-ADV-003,直播营销人员广告经营者/发布者责任认定,广告代言不合规,中,workflow,False,fallback,operator_supply_docs,operator_direct,operator_supply_docs,False,contextual,medium,light,medium,guided_fixable,provisional,legal_attention/routing不一致；workflow规则仍可能进入普通召回,workflow 规则当前不进入普通文案审核，建议作为专项链路单独校准。；legal_attention.default_route 与旧 routing.default_route 不一致。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\美妆\20260705_互联网广告管理办法_2023.05.01生效_20260615下载_规则拆解_v1.json
high,RUID-1222a7f0a93e1a2e,IAM-ADVERTISER-DUTY-001,广告主应对互联网广告真实性负责,虚假宣传,中,workflow,False,fallback,operator_supply_docs,operator_supply_docs,operator_supply_docs,False,contextual,medium,heavy,medium,not_self_fixable,provisional,workflow规则仍可能进入普通召回,workflow 规则当前不进入普通文案审核，建议作为专项链路单独校准。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\20260623_互联网广告管理办法_通用规则_v1.json
high,RUID-d63da61623449475,IAM-AGENCY-DUTY-001,广告经营发布者应审核登记广告内容,平台准入/资质不符,中,workflow,False,fallback,operator_supply_docs,operator_supply_docs,operator_supply_docs,False,contextual,medium,heavy,medium,not_self_fixable,provisional,workflow规则仍可能进入普通召回,workflow 规则当前不进入普通文案审核，建议作为专项链路单独校准。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\20260623_互联网广告管理办法_通用规则_v1.json
high,RUID-1f7db9c54b73870a,IAM-ALGO-001,算法推荐广告应记录规则和投放档案,平台准入/资质不符,低,workflow,False,fallback,operator_supply_docs,operator_supply_docs,operator_supply_docs,False,contextual,medium,heavy,low,not_self_fixable,provisional,workflow规则仍可能进入普通召回,workflow 规则当前不进入普通文案审核，建议作为专项链路单独校准。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\20260623_互联网广告管理办法_通用规则_v1.json
high,RUID-ada14b8a060b8ce1,IAM-PLATFORM-DUTY-001,平台应防范制止违法互联网广告,平台准入/资质不符,中,workflow,True,fallback,legal_review_required,legal_review_required,legal_review_required,False,contextual,medium,heavy,medium,not_self_fixable,provisional,workflow规则仍可能进入普通召回,workflow 规则当前不进入普通文案审核，建议作为专项链路单独校准。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\20260623_互联网广告管理办法_通用规则_v1.json
medium,RUID-9153a1e17a0cb97a,COSM-001-001,特殊药品及戒毒相关产品不得作广告,其他,高,content,False,fallback,operator_direct,operator_direct,operator_direct,False,clear,low,none,high,direct_fixable,provisional,高风险规则但运营直接处理,未发现明显字段冲突；可低优先级抽检。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\美妆\20260705_中华人民共和国广告法（2021修正）_2021.04.29生效_20260615下载_规则拆解_v1.json
