case_id,queried,status,title,court,last_instance_date,case_flag,url,court_expected,loose_match_count,raw_path,error
excel_candidate__cosmetic_medical_claim__ec0e2c05,（2025）苏0282行审5号,hit,宜兴市市场监督管理局、孙某非诉行政行为申请执行审查行政裁定书,江苏省宜兴市人民法院,2025.01.13,(2025)苏0282行审5号,https://www.pkulaw.com/pfnl/08df102e7c10f2061bb206486886d8367d4e091f52ca3a3bbdfb.html?way=mcp,宜兴市人民法院,2,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__cosmetic_medical_claim__ec0e2c05___2025_苏0282行审5号.json,
excel_candidate__false_misleading_claim__700fe82c,（2020）浙0111行审149号,hit,杭州市富阳区市场监督管理局、东莞市米乐真科技有限公司非诉执行审查行政裁定书,浙江省富阳市人民法院,2020.12.08,（2020）浙0111行审149号,https://www.pkulaw.com/pfnl/c05aeed05a57db0a0159baae93f8b6af66c3d95bdc3f6884bdfb.html?way=mcp,杭州市富阳区人民法院,3,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__false_misleading_claim__700fe82c___2020_浙0111行审149号.json,
excel_candidate__false_misleading_claim__801cf8d6,（2025）渝0112行审1486号,hit,重庆市市场监督管理局;重庆某生物科技有限公司罚款行政非诉审查行政裁定书,重庆市渝北区人民法院,2025.08.19,(2025)渝0112行审1486号,https://www.pkulaw.com/pfnl/c7ed112b8012f816da4e4eb27a170be33b0a767aee23bac2bdfb.html?way=mcp,重庆市渝北区人民法院,1,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__false_misleading_claim__801cf8d6___2025_渝0112行审1486号.json,
excel_candidate__false_misleading_claim__a55ab6a8,（2024）苏0282行审64号,hit,宜兴市市场监督管理局、宜兴市某某服务部行政处罚非诉行政行为申请执行审查行政裁定书,江苏省宜兴市人民法院,2024.09.30,(2024)苏0282行审64号,https://www.pkulaw.com/pfnl/08df102e7c10f206937b2c7c9165ff76f07e264c0bd6e894bdfb.html?way=mcp,宜兴市人民法院,1,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__false_misleading_claim__a55ab6a8___2024_苏0282行审64号.json,
excel_candidate__false_misleading_claim__a9cfdd3e,（2014）南召行审字第00050号,hit,河南省南召县人民法院案,河南省南召县人民法院,2014.11.24,(2014)南召行审字第00050号,https://www.pkulaw.com/pfnl/a25051f3312b07f3e10b81a575de41bf263f8b86ac45d3bbbdfb.html?way=mcp,南召县人民法院,3,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__false_misleading_claim__a9cfdd3e___2014_南召行审字第00050号.json,
excel_candidate__false_misleading_claim__f5a6d6c9,（2020）辽0105行初86号,hit,沈阳美希与沈阳市沈河区市场监督管理局、沈阳市市场监督管理局质量监督检验检疫行政管理:其他(质量监督)一审行政判决书,辽宁省沈阳市皇姑区人民法院,2020.08.31,(2020)辽0105行初86号,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc41fbde4dee438bfc4a4fffc0a8e66a12bbdfb.html?way=mcp,沈阳市皇姑区人民法院,2,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__false_misleading_claim__f5a6d6c9___2020_辽0105行初86号.json,
excel_candidate__food_medical_claim__83ff48dc,（2021）浙0521行审9号,hit,德清县市场监督管理局、湖州洁净康电子科技有限公司司法行政管理(司法行政)非诉执行审查行政裁定书,浙江省德清县人民法院,2021.03.15,(2021)浙0521行审9号,https://www.pkulaw.com/pfnl/c05aeed05a57db0aeed2247e578e0568dd96b28d86e6c840bdfb.html?way=mcp,德清县人民法院,3,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__food_medical_claim__83ff48dc___2021_浙0521行审9号.json,
excel_candidate__food_medical_claim__883f17e8,（2018）黑0603行审1号,hit,大庆市食品药品监督管理局、黑龙江易联百货电子商务有限公司非诉执行审查行政裁定书,黑龙江省大庆市龙凤区人民法院,2018.02.02,(2018)黑0603行审1号,https://www.pkulaw.com/pfnl/a25051f3312b07f384992c807e331eba957a8492d428432fbdfb.html?way=mcp,大庆市龙凤区人民法院,2,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__food_medical_claim__883f17e8___2018_黑0603行审1号.json,
excel_candidate__food_medical_claim__b0e7e8a2,（2016）浙0483民初6906号,hit,李宗胜诉江苏一号农场科技股份有限公司产品责任纠纷案,浙江省桐乡市人民法院,2016.10.18,(2016)浙0483民初6906号,https://www.pkulaw.com/pfnl/a25051f3312b07f3b157d5a37102974c36a5298b7f455c1fbdfb.html?way=mcp,桐乡市人民法院,2,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__food_medical_claim__b0e7e8a2___2016_浙0483民初6906号.json,
excel_candidate__food_medical_claim__c13d1c27,（2021）云0623行审4号,hit,盐津县市场监督管理局、盐津黑凤凰农业有限公司非诉执行审查行政裁定书,云南省盐津县人民法院,2021.04.27,(2021)云0623行审4号,https://www.pkulaw.com/pfnl/c05aeed05a57db0a514ac6f51c58e6b328df541621daff00bdfb.html?way=mcp,盐津县人民法院,1,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__food_medical_claim__c13d1c27___2021_云0623行审4号.json,
excel_candidate__food_medical_claim__fd2c4c40,（2016）京0111民初14505号,hit,孙玉民诉京之源（北京）农业有限公司北潞园分公司买卖合同纠纷案,北京市房山区人民法院,2016.11.22,(2016)京0111民初14505号,https://www.pkulaw.com/pfnl/a25051f3312b07f330438601503d329e9c4550aa025add05bdfb.html?way=mcp,北京市房山区人民法院,3,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__food_medical_claim__fd2c4c40___2016_京0111民初14505号.json,
excel_candidate__health_food_overclaim__32abaf01,（2020）苏0412行审155号,hit,常州市武进区市场监督管理局与武进区湖塘颐圣堂食品店、马世开行政非诉审查裁定书,江苏省常州市武进区（市）人民法院,2020.12.30,(2020)苏0412行审155号,https://www.pkulaw.com/pfnl/c05aeed05a57db0aa515105e50c2ba211b26d849ec563200bdfb.html?way=mcp,常州市武进区人民法院,2,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__health_food_overclaim__32abaf01___2020_苏0412行审155号.json,
excel_candidate__health_food_overclaim__87d3834c,（2025）苏0282行审17号,hit,宜兴市市场监督管理局、宜兴市某某服务部行政处罚非诉行政行为申请执行审查行政裁定书,江苏省宜兴市人民法院,2025.04.02,(2025)苏0282行审17号,https://www.pkulaw.com/pfnl/08df102e7c10f20643b770e30bc49def48dd6d46b37fd547bdfb.html?way=mcp,宜兴市人民法院,1,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__health_food_overclaim__87d3834c___2025_苏0282行审17号.json,
excel_candidate__health_food_overclaim__d9cb5caf,（2020）鲁0725行审15号,hit,昌乐县市场监督管理局、吴素杰行政监察(监察)非诉执行审查行政裁定书,山东省昌乐县人民法院,2020.03.26,(2020)鲁0725行审15号,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc49168daafe63f29133ee33d1b1d5a454ebdfb.html?way=mcp,昌乐县人民法院,2,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__health_food_overclaim__d9cb5caf___2020_鲁0725行审15号.json,
excel_candidate__health_food_overclaim__df7e40d5,（2019）浙0211行审74号,hit,宁波市镇海区市场监督管理局、宁波市镇海区招宝山瑞寿食品商行非诉执行审查行政裁定书,浙江省宁波市镇海区人民法院,2019.10.15,(2019)浙0211行审74号,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc470d0f88b836e90854606351e0bfbf24bbdfb.html?way=mcp,宁波市镇海区人民法院,3,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__health_food_overclaim__df7e40d5___2019_浙0211行审74号.json,
excel_candidate__health_food_overclaim__f92a771c,（2020）桂0107行初80号,hit,南宁武鸣活力保健食品有限公司与南宁市武鸣区市场监督管理局行政监察(监察)一审行政判决书,广西壮族自治区南宁市西乡塘区人民法院,2020.10.15,（2020）桂0107行初80号,https://www.pkulaw.com/pfnl/c05aeed05a57db0a71eb8499d705269f61eaedd477649780bdfb.html?way=mcp,南宁市西乡塘区人民法院,3,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__health_food_overclaim__f92a771c___2020_桂0107行初80号.json,
excel_candidate__improper_citation__63ed8b56,（2020）琼0105行审51号,hit,海口市市场监督管理局龙华分局与杨思宝行政处罚非诉执行审查行政裁定书,海南省海口市秀英区人民法院,,(2020)琼0105行审51号,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc461419b75e6471aec97b68ef98f76255cbdfb.html?way=mcp,海口市秀英区人民法院,1,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__improper_citation__63ed8b56___2020_琼0105行审51号.json,
excel_candidate__improper_citation__7b5e29e0,（2019）鄂1281行初20号,hit,广州市哈雷日用品有限公司与赤壁市市场监督管理局、咸宁市人民政府质量监督检验检疫行政管理:其他(质量监督)一审行政判决书,湖北省赤壁市人民法院(原湖北省蒲圻市人民法院),2019.06.18,(2019)鄂1281行初20号,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4815ceb8f9d51cbc9c0199517dbecbd7cbdfb.html?way=mcp,赤壁市人民法院,2,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__improper_citation__7b5e29e0___2019_鄂1281行初20号.json,
excel_candidate__improper_citation__a989a836,（2019）鄂0902行初18号,hit,联合利华（中国）有限公司与云梦县市场监督管理局、孝感市人民政府质量监督检验检疫行政管理:其他(质量监督)一审行政判决书,湖北省孝感市孝南区人民法院,,(2019)鄂0902行初18号,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4068c75956cd4d1e8dbae2a215eb5ad55bdfb.html?way=mcp,孝感市孝南区人民法院,3,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__improper_citation__a989a836___2019_鄂0902行初18号.json,
excel_candidate__improper_citation__ea28d99e,（2018）鄂1223行初3号,hit,广东雪洁日化用品有限公司与崇阳县工商行政管理局、咸宁市人民政府工商行政管理(工商)一审行政判决书,湖北省崇阳县人民法院,2018.05.31,(2018)鄂1223行初3号,https://www.pkulaw.com/pfnl/95b2ca8d4055fce1dcea56d9f15c9a243995b93dc4f3f5d4bdfb.html?way=mcp,崇阳县人民法院,2,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__improper_citation__ea28d99e___2018_鄂1223行初3号.json,
excel_candidate__improper_citation__f79ab438,（2024）甘0103行初58号,hit,甘肃某某医疗科技有限公司与兰州市城关区市场监督管理局、兰州市城关区人民政府行政监察(监察)一审行政判决书,甘肃省兰州市七里河区人民法院,2024.09.23,(2024)甘0103行初58号,https://www.pkulaw.com/pfnl/08df102e7c10f20619c61bb9380db746ab1163f2c34fb3dcbdfb.html?way=mcp,兰州市七里河区人民法院,2,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__improper_citation__f79ab438___2024_甘0103行初58号.json,
excel_candidate__live_commerce_ad__585696ea,（2020）川0113行审13号,hit,成都市青白江区市场监督管理局、成都麦凡田贸易有限公司行政监察(监察)非诉执行审查行政裁定书,四川省成都市青白江区人民法院,2020.06.02,(2020)川0113行审13号,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc422a2496e3eaee7648ff5f2ef06d158b4bdfb.html?way=mcp,成都市青白江区人民法院,1,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__live_commerce_ad__585696ea___2020_川0113行审13号.json,
excel_candidate__live_commerce_ad__6faab3d4,（2018）冀0981行初14号,hit,河北溪林塑业有限公司与泊头市市场监督管理局工商行政管理(工商)一审行政判决书,河北省泊头市人民法院,2018.07.03,(2018)冀0981行初14号,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc418c7e54125792cf3ad6cc3c59254089abdfb.html?way=mcp,泊头市人民法院,4,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__live_commerce_ad__6faab3d4___2018_冀0981行初14号.json,
excel_candidate__live_commerce_ad__a298aa7b,（2016）浙0204行审22号,hit,宁波市市场监督管理局、宁波广发文博虫草制品科技有限公司非诉执行审查行政裁定书,浙江省宁波市鄞州区人民法院,2016.10.13,(2016)浙0204行审22号,https://www.pkulaw.com/pfnl/a25051f3312b07f31813adf91da7e57f7268ad3a569c2b27bdfb.html?way=mcp,宁波市鄞州区人民法院,1,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__live_commerce_ad__a298aa7b___2016_浙0204行审22号.json,
excel_candidate__live_commerce_ad__a6165916,（2017）豫1528行审92号,hit,息县工商管理和质量技术监督局诉息县广播电视台处罚决定书案,河南省息县人民法院,2017.06.13,(2017)豫1528行审92号,https://www.pkulaw.com/pfnl/a25051f3312b07f3c0ef6e961415cf81af9f3f5ec489322dbdfb.html?way=mcp,息县人民法院,2,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__live_commerce_ad__a6165916___2017_豫1528行审92号.json,
excel_candidate__medical_beauty_device_guarantee__333bec1e,（2021）苏03行终63号,hit,徐州宇彤医疗器械有限公司第一分公司与徐州市泉山区市场监督管理局行政处罚二审行政判决书,江苏省徐州市中级人民法院,2021.04.15,(2021)苏03行终63号,https://www.pkulaw.com/pfnl/c05aeed05a57db0ad1256443bcc49100c88a87bcdf2e77abbdfb.html?way=mcp,江苏省徐州市中级人民法院,1,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__medical_beauty_device_guarantee__333bec1e___2021_苏03行终63号.json,
excel_candidate__medical_beauty_device_guarantee__70220379,（2019）冀0203行初302号,hit,唐山煤医整形美容医院与唐山市路北区市场监督管理局、唐山市路北区人民政府行政撤销一审行政判决书,河北省唐山市路北区人民法院,2019.11.21,(2019)冀0203行初302号,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc48ffdc7b093bd29afd750b65849a029b9bdfb.html?way=mcp,唐山市路北区人民法院,2,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__medical_beauty_device_guarantee__70220379___2019_冀0203行初302号.json,
excel_candidate__medical_beauty_device_guarantee__b8bc4386,（2019）辽02行终627号,hit,大连市金州区中医医院、大连市市场监督管理局质量监督检验检疫行政管理:其他(质量监督)二审行政判决书,辽宁省大连市中级人民法院,2019.12.16,(2019)辽02行终627号,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc498b588c960dbf978b6fea5760e52e22fbdfb.html?way=mcp,辽宁省大连市中级人民法院,6,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__medical_beauty_device_guarantee__b8bc4386___2019_辽02行终627号.json,
excel_candidate__medical_beauty_device_guarantee__c5e4983d,（2018）琼0105行初169号,hit,海南伊佳医疗美容医院有限公司与海口市龙华区工商行政管理局、海南省海口市工商行政管理局行政复议一审行政判决书,海南省海口市秀英区人民法院,2018.12.05,(2018)琼0105行初169号,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4bc81cccca77f770e936bb1ec32636e13bdfb.html?way=mcp,海口市秀英区人民法院,3,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__medical_beauty_device_guarantee__c5e4983d___2018_琼0105行初169号.json,
excel_candidate__medical_beauty_device_guarantee__d3aee945,（2018）鄂0103行审20号,hit,武汉市工商行政管理局、武汉广播广告传播有限公司非诉执行审查行政裁定书,湖北省武汉市江汉区人民法院,2018.06.12,(2018)鄂0103行审20号,https://www.pkulaw.com/pfnl/a25051f3312b07f3024c14ce1b8f6f7c12996a12e4df9e4dbdfb.html?way=mcp,武汉市江汉区人民法院,3,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__medical_beauty_device_guarantee__d3aee945___2018_鄂0103行审20号.json,
excel_candidate__native_health_ad__1a078812,（2019）川2021行审14号,hit,安岳县市场监督管理局与安岳县康寿源健ＸＸ活馆质量监督检疫行政非诉一审行政裁定书,四川省安岳县人民法院,2019.09.04,(2019)川2021行审14号,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4c1641a90f97dc1e8c63a021b9e0c0021bdfb.html?way=mcp,安岳县人民法院,3,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__native_health_ad__1a078812___2019_川2021行审14号.json,
excel_candidate__native_health_ad__6a75abb1,（2017）鄂0103行审32号,hit,武汉市工商行政管理局、武汉广播广告传播有限公司非诉执行审查行政裁定书,湖北省武汉市江汉区人民法院,2017.09.12,(2017)鄂0103行审32号,https://www.pkulaw.com/pfnl/a25051f3312b07f3435bf52de7ab4a238d56ab6e0f6470b8bdfb.html?way=mcp,武汉市江汉区人民法院,2,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__native_health_ad__6a75abb1___2017_鄂0103行审32号.json,
excel_candidate__native_health_ad__8cc0903c,（2019）鄂1002行审4号,hit,荆州市工商行政管理局、荆州电视台非诉执行审查行政裁定书,湖北省荆州市沙市区人民法院,2019.01.17,(2019)鄂1002行审4号,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4f46beb6b28779dbbdc81f60bc723b78bbdfb.html?way=mcp,荆州市沙市区人民法院,2,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__native_health_ad__8cc0903c___2019_鄂1002行审4号.json,
excel_candidate__native_health_ad__b4f965f5,（2017）鄂0103行审86号,hit,武汉市工商行政管理局、武汉长江日报传媒集团有限公司武汉晨报分公司非诉执行审查行政裁定书,湖北省武汉市江汉区人民法院,2017.11.20,(2017)鄂0103行审86号,https://www.pkulaw.com/pfnl/a25051f3312b07f3396f5eb8032c97407b7eb5f473f83a72bdfb.html?way=mcp,武汉市江汉区人民法院,1,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__native_health_ad__b4f965f5___2017_鄂0103行审86号.json,
excel_candidate__native_health_ad__b7aba4b2,（2017）鄂0103行审61号,hit,武汉市工商行政管理局、武汉电视广告传媒有限公司非诉执行审查案,湖北省武汉市江汉区人民法院,2017.09.19,(2017)鄂0103行审61号,https://www.pkulaw.com/pfnl/a25051f3312b07f3a9d6f24ae50f0c0bd4a0d43054733a11bdfb.html?way=mcp,武汉市江汉区人民法院,1,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__native_health_ad__b7aba4b2___2017_鄂0103行审61号.json,
excel_candidate__native_health_ad__e805d0c6,（2019）浙0603行初180号,no_exact_match,,,,,,绍兴市柯桥区人民法院,0,,
excel_candidate__real_estate_misleading__39aefb2d,（2025）粤20行终552号,hit,中山某有限公司、中某某等（行政行为）及行政复议二审判决书,广东省中山市中级人民法院,2025.09.30,(2025)粤20行终552号,https://www.pkulaw.com/pfnl/c7ed112b8012f81637e705b5ce83091212e5b933ccd350a1bdfb.html?way=mcp,广东省中山市中级人民法院,1,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__real_estate_misleading__39aefb2d___2025_粤20行终552号.json,
excel_candidate__real_estate_misleading__9d4cd311,（2024）鲁1302行审499号,hit,临沂市市场监督管理局与某某（临沂）地产开发有限公司非诉行政行为申请执行审查裁定书,山东省临沂市兰山区人民法院,2024.11.28,(2024)鲁1302行审499号,https://www.pkulaw.com/pfnl/c7ed112b8012f81668a4a0228b7069ab22ebe9f3843240a9bdfb.html?way=mcp,临沂市兰山区人民法院,1,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__real_estate_misleading__9d4cd311___2024_鲁1302行审499号.json,
excel_candidate__real_estate_misleading__b7d7fead,（2025）新0203行审17号,hit,克拉玛依市克拉玛依区市场监督管理局、新疆某甲房地产开发有限公司罚款行政非诉审查行政裁定书,新疆维吾尔自治区克拉玛依市克拉玛依区人民法院,2025.04.25,(2025)新0203行审17号,https://www.pkulaw.com/pfnl/08df102e7c10f206de3bf9fafc0b00e4f9201a7d9c21c9cabdfb.html?way=mcp,克拉玛依市克拉玛依区人民法院,1,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__real_estate_misleading__b7d7fead___2025_新0203行审17号.json,
excel_candidate__real_estate_misleading__c09b9f5e,（2025）鲁0215行审189号,hit,青岛市即墨区市场监督管理局;青岛辉盛置业有限公司行政非诉审查行政裁定书,山东省即墨市人民法院,2025.08.28,(2025)鲁0215行审189号,https://www.pkulaw.com/pfnl/c7ed112b8012f816af89c662af4159b8c6f66b6bb99cd619bdfb.html?way=mcp,青岛市即墨区人民法院,1,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__real_estate_misleading__c09b9f5e___2025_鲁0215行审189号.json,
excel_candidate__real_estate_misleading__c2ee21d5,（2025）渝0109行审15号,hit,重庆市北碚区市场监督管理局与重庆某房地产开发有限公司非诉执行审查一审行政裁定书,重庆市北碚区人民法院,2025.03.14,(2025)渝0109行审15号,https://www.pkulaw.com/pfnl/c7ed112b8012f816901230dea177b01ce0e09bc34bb718acbdfb.html?way=mcp,重庆市北碚区人民法院,1,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__real_estate_misleading__c2ee21d5___2025_渝0109行审15号.json,
excel_candidate__real_estate_misleading__c7de0984,（2025）川1322行审9号,hit,营山县市场监督管理局;营山泰合商贸有限公司罚款行政非诉审查行政裁定书,四川省营山县人民法院,2025.07.10,(2025)川1322行审9号,https://www.pkulaw.com/pfnl/c7ed112b8012f816bb8e975516d11c486ae65d9320a2f440bdfb.html?way=mcp,营山县人民法院,1,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__real_estate_misleading__c7de0984___2025_川1322行审9号.json,
sector_docx__beauty__0993a40d,（2019）浙0105行审2号,hit,杭州市拱墅区市场监督管理局、杭州滨研生物科技有限公司非诉执行审查行政裁定书,浙江省杭州市拱墅区人民法院,,(2019)浙0105行审2号,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4cb3b4320f774f443670b93436fda2667bdfb.html?way=mcp,杭州市拱墅区人民法院,3,data/sources/pkulaw_backfill/full_20260917/raw/sector_docx__beauty__0993a40d___2019_浙0105行审2号.json,
sector_docx__beauty__0beb3b53,（2024）沪7101行初94号,hit,上海美狄莎思美奇商贸有限公司与上海市长宁区市场监督管理局等罚款一审行政判决书,上海铁路运输法院,2024.04.29,(2024)沪7101行初94号,https://www.pkulaw.com/pfnl/08df102e7c10f20621c1f1241d285a0f61db36c08ee821e8bdfb.html?way=mcp,上海铁路运输法院,2,data/sources/pkulaw_backfill/full_20260917/raw/sector_docx__beauty__0beb3b53___2024_沪7101行初94号.json,
