case_id,case_name,core_audit_ok,final_risk_ok,expected_risk,rule_engine_risk,llm_risk,final_risk,final_risk_source,risk_disagreement,rule_id,rule_uid,title,trigger_layer,recall_channel,rule_risk_level,legal_attention_default_route,legal_interpretation_level,fact_verification_level,risk_severity,operator_fixability,confidence,calibration_status
CASE-COSM-005,美妆专利配方宣称,False,False,中,高,中,高,rule_engine_default,True,COSM-001-002,RUID-9a22a73c310fc68c,化妆品通用名应与产品配方成分相符且功效宣称相符,content,keyword,高,legal_review_required,medium,heavy,high,not_self_fixable,high,provisional
CASE-COSM-005,美妆专利配方宣称,False,False,中,高,中,高,rule_engine_default,True,XHS-COSM-002,RUID-a01290d271d5ba30,广告素材中事实性描述需提供证明材料,content,keyword,高,operator_supply_docs,medium,heavy,medium,guided_fixable,high,provisional
CASE-COSM-005,美妆专利配方宣称,False,False,中,高,中,高,rule_engine_default,True,COSM-虚假宣传-001,RUID-9e32de4d02d4c3d3,专利/荣誉/销量/研发单位/效果指数虚假宣传,content,keyword,高,operator_supply_docs,medium,heavy,high,not_self_fixable,high,provisional
CASE-COSM-005,美妆专利配方宣称,False,False,中,高,中,高,rule_engine_default,True,COSM-PAT-002,RUID-cbbaf4aee0850090,禁止在广告中谎称取得专利权,fact,keyword,高,operator_supply_docs,low,heavy,high,guided_fixable,high,human_confirmed
CASE-COSM-005,美妆专利配方宣称,False,False,中,高,中,高,rule_engine_default,True,COSM-PAT-003,RUID-4516cb8da41523b8,禁止使用未授权专利申请或已失效专利作广告,fact,keyword,高,operator_supply_docs,medium,heavy,high,guided_fixable,high,human_confirmed
CASE-COSM-005,美妆专利配方宣称,False,False,中,高,中,高,rule_engine_default,True,COSM-OTHER-002,RUID-6de71a28bbfbccf5,广告中不得假冒他人专利,fact,keyword,高,operator_supply_docs,medium,heavy,high,guided_fixable,high,human_confirmed
CASE-HF-002,保健食品疾病预防健康科普导流,True,True,高,高,中,高,rule_engine_default,True,IAM-HEALTHSOFT-001,RUID-38e9bda474456629,不得以健康养生内容变相发布特殊品类广告,content,keyword,高,legal_review_required,high,light,high,not_self_fixable,high,provisional
CASE-HF-002,保健食品疾病预防健康科普导流,True,True,高,高,中,高,rule_engine_default,True,GEN-HEALTHSOFT-001,RUID-1b5a618fd60fdd11,不得以健康养生知识变相发布广告,content,keyword,高,legal_review_required,high,light,high,not_self_fixable,high,provisional
CASE-HF-002,保健食品疾病预防健康科普导流,True,True,高,高,中,高,rule_engine_default,True,HF-FALSE-001,RUID-4eb2d27878eedc20,保健食品标签说明书不得涉及疾病预防治疗功能,content,keyword,高,operator_direct,low,none,high,direct_fixable,high,provisional
CASE-HF-002,保健食品疾病预防健康科普导流,True,True,高,高,中,高,rule_engine_default,True,HF-MIS-001,RUID-a63b69e3e828b39c,保健食品标签说明书不得涉及疾病预防治疗功能,content,keyword,高,operator_direct,low,none,high,direct_fixable,high,provisional
CASE-HF-002,保健食品疾病预防健康科普导流,True,True,高,高,中,高,rule_engine_default,True,HF-001-001,RUID-c3511b0e7c2dc985,保健食品标签说明书不得涉及疾病预防治疗功能,content,keyword,高,operator_direct,low,none,high,direct_fixable,high,provisional
CASE-HF-002,保健食品疾病预防健康科普导流,True,True,高,高,中,高,rule_engine_default,True,HFAD-011-002,RUID-92f0e76f37a2a1a1,保健食品广告不得使用科研单位、学术机构、专家、患者等名义作推荐证明,content,keyword,高,operator_direct,low,none,high,direct_fixable,high,provisional
CASE-HF-002,保健食品疾病预防健康科普导流,True,True,高,高,中,高,rule_engine_default,True,HF-002,RUID-b2af3e129ef8e342,保健食品广告不得涉及疾病预防、治疗功能,content,keyword,高,operator_direct,low,none,high,direct_fixable,high,provisional
CASE-HF-002,保健食品疾病预防健康科普导流,True,True,高,高,中,高,rule_engine_default,True,HF-005,RUID-d79610014e487328,保健食品广告不得利用广告代言人作推荐、证明,content,keyword,高,operator_direct,low,none,medium,direct_fixable,high,provisional
CASE-HF-002,保健食品疾病预防健康科普导流,True,True,高,高,中,高,rule_engine_default,True,HF-IP-003,RUID-95d03473566aa0b5,广告中未经同意不得使用他人名义或形象,fact,keyword,高,operator_supply_docs,medium,heavy,high,guided_fixable,high,human_confirmed
CASE-HF-002,保健食品疾病预防健康科普导流,True,True,高,高,中,高,rule_engine_default,True,HF-AD-002,RUID-0890919fcdafb70b,保健食品广告需完成行业认证后方可投放,fact,keyword,高,operator_supply_docs,low,heavy,medium,not_self_fixable,high,provisional
CASE-HF-002,保健食品疾病预防健康科普导流,True,True,高,高,中,高,rule_engine_default,True,HF-ADL-001,RUID-a4231e5bdb7ce08b,广告中使用他人名义或形象需取得书面同意,fact,keyword,高,operator_supply_docs,medium,heavy,high,guided_fixable,high,human_confirmed
CASE-HF-004,保健食品买赠价格促销,False,False,中,高,中,高,rule_engine_default,True,DY-HF-001,RUID-c7f28f8ede77c6b0,商品宣传信息真实性义务,content,keyword,高,operator_supply_docs,medium,heavy,high,not_self_fixable,high,provisional
CASE-HF-004,保健食品买赠价格促销,False,False,中,高,中,高,rule_engine_default,True,GEN-HEALTHSOFT-001,RUID-1b5a618fd60fdd11,不得以健康养生知识变相发布广告,content,semantic,高,legal_review_required,high,light,high,not_self_fixable,high,provisional
CASE-GAME-001,游戏全网第一绝对化宣称,True,True,高,高,中,高,rule_engine_default,True,GEN-ABS-001,RUID-b60852699e8ddd70,广告不得使用绝对化用语等红线内容,content,keyword,高,operator_direct,low,none,high,direct_fixable,high,provisional
CASE-GAME-001,游戏全网第一绝对化宣称,True,True,高,高,中,高,rule_engine_default,True,GEN-FALSE-001,RUID-d958618a8503a8de,广告不得作虚假或引人误解宣传,content,keyword,高,legal_review_required,high,heavy,high,not_self_fixable,high,provisional
CASE-GAME-001,游戏全网第一绝对化宣称,True,True,高,高,中,高,rule_engine_default,True,GAME-IP-002,RUID-5c1b488604c3bbd0,游戏类广告创意不得抄袭其他游戏元素,content,keyword,高,legal_review_required,high,heavy,high,not_self_fixable,high,provisional
CASE-GAME-001,游戏全网第一绝对化宣称,True,True,高,高,中,高,rule_engine_default,True,GAME-FALSE-005,RUID-49ce8230eea10fa3,禁止虚假广告（其他虚假或引人误解内容）,content,semantic,高,legal_review_required,high,light,high,not_self_fixable,high,provisional
CASE-GAME-001,游戏全网第一绝对化宣称,True,True,高,高,中,高,rule_engine_default,True,GAME-AD-001,RUID-44c5caa2437d82d9,广告主对互联网广告内容真实性负责,content,semantic,高,legal_review_required,high,heavy,high,not_self_fixable,high,provisional
CASE-GAME-003,游戏直播带货达人推荐,False,False,中,高,中,高,rule_engine_default,True,GAME-BILI-004,RUID-c96e2a3dbc0b3a2e,广告不得违规使用艺人/人物,content,keyword,高,legal_review_required,medium,heavy,high,not_self_fixable,high,provisional
CASE-GAME-003,游戏直播带货达人推荐,False,False,中,高,中,高,rule_engine_default,True,GAME-IP-002,RUID-f30ed7aec04e8afa,不得利用不满10周岁的未成年人作为广告代言人,content,keyword,高,operator_direct,low,light,medium,direct_fixable,high,provisional
CASE-GAME-003,游戏直播带货达人推荐,False,False,中,高,中,高,rule_engine_default,True,GAME-AD-002,RUID-fe324abb9130484c,农药、兽药、饲料和饲料添加剂广告不得利用科研单位、学术机构、技术推广机构、行业协会或者专业人士、用户的名义或者形象作推荐、证明,content,keyword,高,operator_direct,low,none,high,direct_fixable,high,provisional
CASE-GAME-003,游戏直播带货达人推荐,False,False,中,高,中,高,rule_engine_default,True,GAME-AD-003,RUID-32fd3325bec319e7,教育、培训广告不得利用特定机构或个人名义作推荐证明,content,keyword,高,operator_direct,low,none,medium,direct_fixable,high,provisional
CASE-GAME-003,游戏直播带货达人推荐,False,False,中,高,中,高,rule_engine_default,True,GAME-AD-002,RUID-81d59a7fff4f0a21,招商广告不得利用学术机构、行业协会、专业人士、受益者名义作推荐证明,content,keyword,高,operator_supply_docs,medium,light,high,guided_fixable,high,provisional
CASE-GAME-003,游戏直播带货达人推荐,False,False,中,高,中,高,rule_engine_default,True,GAME-AD-001,RUID-0bb184d1ed7e014c,广告中使用他人名义或形象需取得书面同意,content,keyword,高,operator_supply_docs,medium,heavy,high,not_self_fixable,high,provisional
CASE-GAME-004,游戏系统更新误导点击,False,False,中,高,中,高,rule_engine_default,True,GAME-AD-002,RUID-3128ad84f9229d96,禁止以虚假播放开始暂停等标志欺骗误导用户点击浏览广告,content,keyword,高,operator_direct,low,none,medium,direct_fixable,high,provisional
CASE-GAME-004,游戏系统更新误导点击,False,False,中,高,中,高,rule_engine_default,True,GAME-AD-001,RUID-cbb2ef034ec23434,禁止以虚假系统提示欺骗误导用户点击浏览广告,content,keyword,高,operator_direct,low,none,medium,direct_fixable,high,provisional
CASE-GAME-004,游戏系统更新误导点击,False,False,中,高,中,高,rule_engine_default,True,GAME-BILI-003,RUID-0c1871c3d7b8e462,涉及用户不消费即可领取福利需二次核查奖励品真实性,content,keyword,高,operator_supply_docs,medium,heavy,high,guided_fixable,high,provisional
CASE-GEN-002,通用竞品贬低比较,False,False,中,高,中,高,rule_engine_default,True,GAME-AD-003,RUID-56d109de8b0d7e91,禁止利用其他商品或服务广告宣传烟草制品,content,keyword,高,operator_supply_docs,medium,light,high,guided_fixable,high,human_confirmed
CASE-GEN-002,通用竞品贬低比较,False,False,中,高,中,高,rule_engine_default,True,GAME-OTHER-002,RUID-98e77b57a7749728,广告中不得假冒他人专利,content,semantic,高,operator_supply_docs,low,light,medium,guided_fixable,high,provisional
CASE-GEN-003,通用弹窗一键关闭,True,True,中,中,无明显风险,中,rule_engine_default,True,GEN-POPUP-001,RUID-8dda514382cdea98,互联网弹窗广告应一键关闭,content,keyword,中,operator_supply_docs,low,heavy,medium,guided_fixable,high,provisional
CASE-GEN-003,通用弹窗一键关闭,True,True,中,中,无明显风险,中,rule_engine_default,True,IAM-POPUP-001,RUID-91a3f462c70fa297,弹窗开屏广告应确保一键关闭,content,keyword,中,operator_supply_docs,low,heavy,medium,guided_fixable,high,provisional
CASE-GEN-003,通用弹窗一键关闭,True,True,中,中,无明显风险,中,rule_engine_default,True,COSM-ADID-001,RUID-5e8ec4c9dd8a903e,互联网弹出广告须显著标明关闭标志并确保一键关闭,content,keyword,中,operator_direct,low,none,low,direct_fixable,high,provisional
CASE-GEN-003,通用弹窗一键关闭,True,True,中,中,无明显风险,中,rule_engine_default,True,IAM-POP-001,RUID-a6cc05cef258c1d6,弹出广告应显著标明关闭标志并确保一键关闭,content,keyword,中,operator_direct,low,none,medium,direct_fixable,high,provisional
CASE-GEN-004,通用未经同意推送广告,False,False,中,高,高,高,rule_engine_default,False,HF-虚假宣传-002,RUID-168081152ac6fa9d,保健食品广告不得利用科研单位、学术机构、技术推广机构、行业协会或者专业人士、用户的名义或者形象作推荐、证明,content,keyword,高,operator_direct,low,none,medium,direct_fixable,high,provisional
CASE-GEN-004,通用未经同意推送广告,False,False,中,高,高,高,rule_engine_default,False,GEN-MED-001,RUID-1e455acefad683e3,非医疗广告不得涉及疾病治疗和医疗用语,content,semantic,高,legal_review_required,high,none,high,not_self_fixable,high,provisional
CASE-GEN-004,通用未经同意推送广告,False,False,中,高,高,高,rule_engine_default,False,HF-ADL-001,RUID-a4231e5bdb7ce08b,广告中使用他人名义或形象需取得书面同意,fact,keyword,高,operator_supply_docs,medium,heavy,high,guided_fixable,high,human_confirmed
CASE-GEN-004,通用未经同意推送广告,False,False,中,高,高,高,rule_engine_default,False,HF-IP-003,RUID-95d03473566aa0b5,广告中未经同意不得使用他人名义或形象,fact,keyword,高,operator_supply_docs,medium,heavy,high,guided_fixable,high,human_confirmed
CASE-GEN-005,通用链接落地页核对,False,False,中,高,中,高,rule_engine_default,True,GAME-FALSE-005,RUID-49ce8230eea10fa3,禁止虚假广告（其他虚假或引人误解内容）,content,semantic,高,legal_review_required,high,light,high,not_self_fixable,high,provisional
CASE-GEN-005,通用链接落地页核对,False,False,中,高,中,高,rule_engine_default,True,GAME-AD-004,RUID-3ddc4ab0edeb7b3b,禁止以其他欺骗误导方式使用户点击浏览广告,content,semantic,高,legal_review_required,high,none,high,not_self_fixable,high,provisional
CASE-GEN-005,通用链接落地页核对,False,False,中,高,中,高,rule_engine_default,True,GAME-AD-002,RUID-3128ad84f9229d96,禁止以虚假播放开始暂停等标志欺骗误导用户点击浏览广告,content,semantic,高,operator_direct,low,none,medium,direct_fixable,high,provisional
CASE-SEM-001,语义召回-软文导流未标合作,False,False,高,中,中,中,rule_engine_default,False,COSM-001-003,RUID-9d9929996c379a01,化妆品名称组合使用可能产生歧义时需解释说明,content,keyword,中,legal_review_required,high,none,medium,not_self_fixable,high,provisional
CASE-SEM-001,语义召回-软文导流未标合作,False,False,高,中,中,中,rule_engine_default,False,XHS-COSM-001,RUID-21bbfdd0c18d269e,广告素材涉及第三方合作需提供合作证明/授权,content,keyword,中,operator_supply_docs,medium,heavy,medium,guided_fixable,high,provisional
CASE-SEM-001,语义召回-软文导流未标合作,False,False,高,中,中,中,rule_engine_default,False,DY-COSM-003,RUID-c23965025c739d8f,美妆不得展示其他平台博主笔记/视频分享规则,content,keyword,中,operator_direct,low,none,medium,direct_fixable,high,provisional
CASE-SEM-001,语义召回-软文导流未标合作,False,False,高,中,中,中,rule_engine_default,False,GEN-IDENT-001,RUID-0504df6a38716141,广告应当具有可识别性,content,semantic,中,legal_review_required,high,light,medium,guided_fixable,high,provisional
CASE-SEM-002,语义召回-健康知识包装保健食品,True,True,高,高,中,高,rule_engine_default,True,IAM-HEALTHSOFT-001,RUID-38e9bda474456629,不得以健康养生内容变相发布特殊品类广告,content,semantic,高,legal_review_required,high,light,high,not_self_fixable,high,provisional
CASE-SEM-002,语义召回-健康知识包装保健食品,True,True,高,高,中,高,rule_engine_default,True,GEN-HEALTHSOFT-001,RUID-1b5a618fd60fdd11,不得以健康养生知识变相发布广告,content,semantic,高,legal_review_required,high,light,high,not_self_fixable,high,provisional
CASE-SEM-002,语义召回-健康知识包装保健食品,True,True,高,高,中,高,rule_engine_default,True,HF-AD-002,RUID-0890919fcdafb70b,保健食品广告需完成行业认证后方可投放,fact,keyword,高,operator_supply_docs,low,heavy,medium,not_self_fixable,high,provisional
CASE-SEM-003,语义召回-伪装版本提示诱导点击,True,True,高,高,中,高,rule_engine_default,True,GAME-AD-002,RUID-fe324abb9130484c,农药、兽药、饲料和饲料添加剂广告不得利用科研单位、学术机构、技术推广机构、行业协会或者专业人士、用户的名义或者形象作推荐、证明,content,keyword,高,operator_direct,low,none,high,direct_fixable,high,provisional
CASE-SEM-003,语义召回-伪装版本提示诱导点击,True,True,高,高,中,高,rule_engine_default,True,GAME-PROT-001,RUID-a7ee03564d7423d7,网络服务提供者对可能影响未成年人身心健康的信息应作显著提示,content,keyword,高,legal_review_required,high,none,high,not_self_fixable,high,provisional
CASE-SEM-003,语义召回-伪装版本提示诱导点击,True,True,高,高,中,高,rule_engine_default,True,GAME-BILI-003,RUID-0c1871c3d7b8e462,涉及用户不消费即可领取福利需二次核查奖励品真实性,content,keyword,高,operator_supply_docs,medium,heavy,high,guided_fixable,high,provisional
CASE-SEM-005,语义召回-权益条件表述不完整,True,True,高,高,中,高,rule_engine_default,True,COSM-AD-001,RUID-e879462bd9dec990,社会团体/中介机构对产品质量承诺保证的连带责任,content,keyword,高,legal_review_required,high,heavy,high,not_self_fixable,high,provisional
CASE-SEM-005,语义召回-权益条件表述不完整,True,True,高,高,中,高,rule_engine_default,True,GEN-EDU-001,RUID-56eb9dfe9ffbe1a8,教育、培训广告不得含有对升学、通过考试等效果的保证性承诺,content,keyword,高,operator_direct,low,none,medium,direct_fixable,high,provisional
CASE-SEM-005,语义召回-权益条件表述不完整,True,True,高,高,中,高,rule_engine_default,True,COSM-ADV-001,RUID-c434bc40389bb1a2,广告中使用他人名义或形象需取得书面同意,content,keyword,高,operator_supply_docs,medium,heavy,high,not_self_fixable,high,provisional
CASE-SEM-005,语义召回-权益条件表述不完整,True,True,高,高,中,高,rule_engine_default,True,DY-COSM-004,RUID-4b74c2a3f429df0f,不得无依据承诺效果或使用绝对化用语,content,keyword,高,operator_direct,low,none,medium,direct_fixable,high,provisional
CASE-SEM-005,语义召回-权益条件表述不完整,True,True,高,高,中,高,rule_engine_default,True,COSM-FC-001,RUID-98a02d5814c51abf,化妆品类商品不得过度承诺,content,keyword,高,operator_direct,medium,none,medium,guided_fixable,high,provisional
CASE-SEM-005,语义召回-权益条件表述不完整,True,True,高,高,中,高,rule_engine_default,True,DY-COSM-001,RUID-7c41716145d01973,化妆品商品不得过度承诺效果,content,keyword,高,operator_supply_docs,medium,light,high,guided_fixable,high,provisional
CASE-SEM-005,语义召回-权益条件表述不完整,True,True,高,高,中,高,rule_engine_default,True,COSM-虚假宣传-001,RUID-503970617d0d84f1,美妆商品效果保证宣传禁止规则,content,keyword,高,operator_direct,low,none,medium,direct_fixable,high,provisional
CASE-SEM-005,语义召回-权益条件表述不完整,True,True,高,高,中,高,rule_engine_default,True,COSM-虚假宣传-001,RUID-f5ec77e12b20c051,禁止无数据支撑的效果保证宣传,content,keyword,高,operator_supply_docs,medium,light,high,guided_fixable,high,provisional
