case_id,title,case_number,court,decision_date,source_lookup_query,status
excel_candidate__cosmetic_medical_claim__b2d8108c,崇阳县市场监督管理局、御升广盈生物科技（深圳）有限公司非诉执行审查案,（2020）鄂1223行审52号,崇阳县人民法院,2020-07-10,（2020）鄂1223行审52号 崇阳县市场监督管理局、御升广盈生物科技（深圳）有限公司非诉执行审查案,pending_source_lookup
excel_candidate__cosmetic_medical_claim__2280310e,温拓与天津百恩汇生物科技有限公司买卖合同纠纷再审案,（2017）陕01民再74号,陕西省西安市中级人民法院,2017-09-18,（2017）陕01民再74号 温拓与天津百恩汇生物科技有限公司买卖合同纠纷再审案,pending_source_lookup
excel_candidate__medical_beauty_device_guarantee__b8bc4386,大连市金州区中医医院与大连市市场监督管理局行政案,（2019）辽02行终627号,辽宁省大连市中级人民法院,2019-12-16,（2019）辽02行终627号 大连市金州区中医医院与大连市市场监督管理局行政案,pending_source_lookup
excel_candidate__medical_beauty_device_guarantee__333bec1e,徐州宇彤医疗器械有限公司第一分公司与徐州市泉山区市场监督管理局行政处罚案,（2021）苏03行终63号,江苏省徐州市中级人民法院,2021-04-15,（2021）苏03行终63号 徐州宇彤医疗器械有限公司第一分公司与徐州市泉山区市场监督管理局行政处罚案,pending_source_lookup
excel_candidate__medical_beauty_device_guarantee__c5e4983d,海南伊佳医疗美容医院有限公司与海口市龙华区工商行政管理局行政案,（2018）琼0105行初169号,海口市秀英区人民法院,2018-12-05,（2018）琼0105行初169号 海南伊佳医疗美容医院有限公司与海口市龙华区工商行政管理局行政案,pending_source_lookup
excel_candidate__medical_beauty_device_guarantee__70220379,唐山煤医整形美容医院与唐山市路北区市场监督管理局行政案,（2019）冀0203行初302号,唐山市路北区人民法院,2019-11-07,（2019）冀0203行初302号 唐山煤医整形美容医院与唐山市路北区市场监督管理局行政案,pending_source_lookup
excel_candidate__medical_beauty_device_guarantee__d3aee945,武汉市工商行政管理局、武汉广播广告传播有限公司非诉执行审查案,（2018）鄂0103行审20号,武汉市江汉区人民法院,2018-06-12,（2018）鄂0103行审20号 武汉市工商行政管理局、武汉广播广告传播有限公司非诉执行审查案,pending_source_lookup
excel_candidate__absolute_terms__1c28d555,北京假日阳光环球旅行社有限公司与北京市工商行政管理局海淀分局行政案,（2017）京0108行初511号,北京市海淀区人民法院,2017-11-23,（2017）京0108行初511号 北京假日阳光环球旅行社有限公司与北京市工商行政管理局海淀分局行政案,pending_source_lookup
excel_candidate__absolute_terms__f8beaa91,温州经济技术开发区海城叶挺亮洁具配件厂与温州市市场监督管理局行政案,（2019）浙03行终112号,浙江省温州市中级人民法院,2019-05-09,（2019）浙03行终112号 温州经济技术开发区海城叶挺亮洁具配件厂与温州市市场监督管理局行政案,pending_source_lookup
excel_candidate__absolute_terms__0963e2cd,温州经济技术开发区海城乔诗丹顿卫浴洁具店与温州市市场监督管理局行政案,（2019）浙03行终113号,浙江省温州市中级人民法院,2019-05-09,（2019）浙03行终113号 温州经济技术开发区海城乔诗丹顿卫浴洁具店与温州市市场监督管理局行政案,pending_source_lookup
excel_candidate__absolute_terms__434f2186,郑州尚之泉文化传播有限公司与郑州市工商行政管理局金水分局行政案,（2016）豫0104行初138号,郑州市管城回族区人民法院,2016-12-23,（2016）豫0104行初138号 郑州尚之泉文化传播有限公司与郑州市工商行政管理局金水分局行政案,pending_source_lookup
excel_candidate__absolute_terms__92b4e4d1,郑州市金水区工商管理和质量技术监督局与郑州市科视视光技术有限公司行政案,（2018）豫01行终314号,河南省郑州市中级人民法院,2018-11-12,（2018）豫01行终314号 郑州市金水区工商管理和质量技术监督局与郑州市科视视光技术有限公司行政案,pending_source_lookup
excel_candidate__false_misleading_claim__801cf8d6,重庆市市场监督管理局与重庆某生物科技有限公司行政非诉审查案,（2025）渝0112行审1486号,重庆市渝北区人民法院,2025-08-19,（2025）渝0112行审1486号 重庆市市场监督管理局与重庆某生物科技有限公司行政非诉审查案,pending_source_lookup
excel_candidate__false_misleading_claim__a55ab6a8,宜兴市市场监督管理局、宜兴市某某服务部行政处罚非诉执行审查案,（2024）苏0282行审64号,宜兴市人民法院,2024-09-30,（2024）苏0282行审64号 宜兴市市场监督管理局、宜兴市某某服务部行政处罚非诉执行审查案,pending_source_lookup
excel_candidate__false_misleading_claim__f5a6d6c9,沈阳美希公司与沈阳市沈河区市场监督管理局行政案,（2020）辽0105行初86号,沈阳市皇姑区人民法院,2020-08-31,（2020）辽0105行初86号 沈阳美希公司与沈阳市沈河区市场监督管理局行政案,pending_source_lookup
excel_candidate__false_misleading_claim__a9cfdd3e,南召县工商行政管理局申请执行闫学军行政处罚案,（2014）南召行审字第00050号,南召县人民法院,2014-11-24,（2014）南召行审字第00050号 南召县工商行政管理局申请执行闫学军行政处罚案,pending_source_lookup
excel_candidate__false_misleading_claim__700fe82c,杭州市富阳区市场监督管理局、东莞市米乐真科技有限公司非诉执行审查案,（2020）浙0111行审149号,杭州市富阳区人民法院,2020-12-08,（2020）浙0111行审149号 杭州市富阳区市场监督管理局、东莞市米乐真科技有限公司非诉执行审查案,pending_source_lookup
excel_candidate__improper_citation__63ed8b56,海口市市场监督管理局龙华分局与杨思宝行政处罚非诉执行审查案,（2020）琼0105行审51号,海口市秀英区人民法院,2020-03-31,（2020）琼0105行审51号 海口市市场监督管理局龙华分局与杨思宝行政处罚非诉执行审查案,pending_source_lookup
excel_candidate__improper_citation__a989a836,联合利华（中国）有限公司与云梦县市场监督管理局行政案,（2019）鄂0902行初18号,孝感市孝南区人民法院,2019-08-09,（2019）鄂0902行初18号 联合利华（中国）有限公司与云梦县市场监督管理局行政案,pending_source_lookup
excel_candidate__improper_citation__7b5e29e0,广州市哈雷日用品有限公司与赤壁市市场监督管理局行政案,（2019）鄂1281行初20号,赤壁市人民法院,2019-06-18,（2019）鄂1281行初20号 广州市哈雷日用品有限公司与赤壁市市场监督管理局行政案,pending_source_lookup
excel_candidate__improper_citation__ea28d99e,广东雪洁日化用品有限公司与崇阳县工商行政管理局行政案,（2018）鄂1223行初3号,崇阳县人民法院,2018-05-31,（2018）鄂1223行初3号 广东雪洁日化用品有限公司与崇阳县工商行政管理局行政案,pending_source_lookup
excel_candidate__improper_citation__f79ab438,甘肃某某医疗科技有限公司与兰州市城关区市场监督管理局行政案,（2024）甘0103行初58号,兰州市七里河区人民法院,2024-09-23,（2024）甘0103行初58号 甘肃某某医疗科技有限公司与兰州市城关区市场监督管理局行政案,pending_source_lookup
excel_candidate__real_estate_misleading__c2ee21d5,重庆市北碚区市场监督管理局与重庆某房地产开发有限公司非诉执行审查案,（2025）渝0109行审15号,重庆市北碚区人民法院,2025-03-14,（2025）渝0109行审15号 重庆市北碚区市场监督管理局与重庆某房地产开发有限公司非诉执行审查案,pending_source_lookup
excel_candidate__real_estate_misleading__c09b9f5e,青岛市即墨区某局与青岛某有限公司行政非诉审查案,（2025）鲁0215行审189号,青岛市即墨区人民法院,2025-08-28,（2025）鲁0215行审189号 青岛市即墨区某局与青岛某有限公司行政非诉审查案,pending_source_lookup
excel_candidate__real_estate_misleading__39aefb2d,中山某有限公司与某街道办行政案,（2025）粤20行终552号,广东省中山市中级人民法院,2025-09-30,（2025）粤20行终552号 中山某有限公司与某街道办行政案,pending_source_lookup
excel_candidate__real_estate_misleading__c7de0984,营山县市场监督管理局与营山某商贸有限公司行政非诉审查案,（2025）川1322行审9号,营山县人民法院,2025-07-10,（2025）川1322行审9号 营山县市场监督管理局与营山某商贸有限公司行政非诉审查案,pending_source_lookup
excel_candidate__real_estate_misleading__9d4cd311,临沂市市场监督管理局与某某（临沂）地产开发有限公司非诉执行审查案,（2024）鲁1302行审499号,临沂市兰山区人民法院,2024-11-28,（2024）鲁1302行审499号 临沂市市场监督管理局与某某（临沂）地产开发有限公司非诉执行审查案,pending_source_lookup
excel_candidate__real_estate_misleading__b7d7fead,克拉玛依市克拉玛依区市场监督管理局与新疆某甲房地产开发有限公司行政非诉审查案,（2025）新0203行审17号,克拉玛依市克拉玛依区人民法院,2025-04-25,（2025）新0203行审17号 克拉玛依市克拉玛依区市场监督管理局与新疆某甲房地产开发有限公司行政非诉审查案,pending_source_lookup
excel_candidate__live_commerce_ad__6faab3d4,河北溪林塑业有限公司与泊头市市场监督管理局行政案,（2018）冀0981行初14号,泊头市人民法院,2018-07-03,（2018）冀0981行初14号 河北溪林塑业有限公司与泊头市市场监督管理局行政案,pending_source_lookup
excel_candidate__live_commerce_ad__a6165916,息县工商管理和质量技术监督局与息县广播电视台非诉执行审查案,（2017）豫1528行审92号,息县人民法院,2017-06-13,（2017）豫1528行审92号 息县工商管理和质量技术监督局与息县广播电视台非诉执行审查案,pending_source_lookup
excel_candidate__live_commerce_ad__a298aa7b,宁波市市场监督管理局与宁波广发文博虫草制品科技有限公司非诉执行审查案,（2016）浙0204行审22号,宁波市鄞州区人民法院,2016-10-13,（2016）浙0204行审22号 宁波市市场监督管理局与宁波广发文博虫草制品科技有限公司非诉执行审查案,pending_source_lookup
excel_candidate__live_commerce_ad__585696ea,成都市青白江区市场监督管理局与成都麦凡田贸易有限公司行政非诉执行审查案,（2020）川0113行审13号,成都市青白江区人民法院,2020-06-02,（2020）川0113行审13号 成都市青白江区市场监督管理局与成都麦凡田贸易有限公司行政非诉执行审查案,pending_source_lookup
excel_candidate__native_health_ad__1a078812,安岳县市场监督管理局与安岳县康寿源健康生活馆行政非诉审查案,（2019）川2021行审14号,安岳县人民法院,2019-09-04,（2019）川2021行审14号 安岳县市场监督管理局与安岳县康寿源健康生活馆行政非诉审查案,pending_source_lookup
excel_candidate__native_health_ad__e805d0c6,绍兴上虞康强医疗器械经营部与绍兴市上虞区市场监督管理局行政案,（2019）浙0603行初180号,绍兴市柯桥区人民法院,2020-02-20,（2019）浙0603行初180号 绍兴上虞康强医疗器械经营部与绍兴市上虞区市场监督管理局行政案,pending_source_lookup
excel_candidate__native_health_ad__6a75abb1,武汉市工商行政管理局与武汉广播广告传播有限公司非诉执行审查案,（2017）鄂0103行审32号,武汉市江汉区人民法院,2017-09-12,（2017）鄂0103行审32号 武汉市工商行政管理局与武汉广播广告传播有限公司非诉执行审查案,pending_source_lookup
excel_candidate__native_health_ad__8cc0903c,荆州市工商行政管理局与荆州电视台非诉执行审查案,（2019）鄂1002行审4号,荆州市沙市区人民法院,2019-01-17,（2019）鄂1002行审4号 荆州市工商行政管理局与荆州电视台非诉执行审查案,pending_source_lookup
excel_candidate__native_health_ad__b7aba4b2,武汉市工商行政管理局与武汉电视广告传媒有限公司非诉执行审查案,（2017）鄂0103行审61号,武汉市江汉区人民法院,2017-09-19,（2017）鄂0103行审61号 武汉市工商行政管理局与武汉电视广告传媒有限公司非诉执行审查案,pending_source_lookup
excel_candidate__native_health_ad__b4f965f5,武汉市工商行政管理局与武汉长江日报传媒集团有限公司武汉晨报分公司非诉执行审查案,（2017）鄂0103行审86号,武汉市江汉区人民法院,2017-11-20,（2017）鄂0103行审86号 武汉市工商行政管理局与武汉长江日报传媒集团有限公司武汉晨报分公司非诉执行审查案,pending_source_lookup
